Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10507,A6413-33-217,75286.0,017,中芸村,64000130,林園區,64000,高雄市
10511,A6403-24-001,91700.0,027,部北里,64000030,左營區,64000,高雄市
10509,A6431-10-072,44314.0,004,中壇里,64000310,美濃區,64000,高雄市
10511,A6403-24-003,122306.0,026,路東里,64000030,左營區,64000,高雄市
10511,A6413-37-246,47251.0,018,東汕村,64000130,林園區,64000,高雄市
10512,A6411-09-007,6743.0,029,廈莊里,64000110,小港區,64000,高雄市
10511,A6413-37-245,44491.0,024,中汕村,64000130,林園區,64000,高雄市
10512,A6411-09-008,106164.0,031,桂林里,64000110,小港區,64000,高雄市
10511,A6403-24-005,129919.0,028,部南里,64000030,左營區,64000,高雄市
10511,A6413-37-248,23845.0,024,中汕村,64000130,林園區,64000,高雄市
10512,A6411-09-005,90572.0,031,桂林里,64000110,小港區,64000,高雄市
10511,A6403-24-004,133092.0,024,聖南里,64000030,左營區,64000,高雄市
10511,A6413-37-247,128448.0,024,中汕村,64000130,林園區,64000,高雄市
10512,A6411-09-006,105030.0,031,桂林里,64000110,小港區,64000,高雄市
10507,A6413-33-219,126441.0,009,西溪村,64000130,林園區,64000,高雄市
10511,A6403-24-007,153154.0,028,部南里,64000030,左營區,64000,高雄市
10512,A6411-09-003,12392.0,029,廈莊里,64000110,小港區,64000,高雄市
10511,A6403-24-006,92639.0,026,路東里,64000030,左營區,64000,高雄市
10512,A6411-09-004,105613.0,031,桂林里,64000110,小港區,64000,高雄市
10511,A6403-24-009,66413.0,029,埤西里,64000030,左營區,64000,高雄市
10512,A6411-09-001,49392.0,031,桂林里,64000110,小港區,64000,高雄市
10511,A6403-24-008,120803.0,029,埤西里,64000030,左營區,64000,高雄市
10511,A6413-37-243,83697.0,024,中汕村,64000130,林園區,64000,高雄市
10512,A6411-09-002,25227.0,031,桂林里,64000110,小港區,64000,高雄市
10509,A6431-10-069,98984.0,003,祿興里,64000310,美濃區,64000,高雄市
10511,A6413-37-249,59250.0,019,西汕村,64000130,林園區,64000,高雄市
10507,A6413-33-220,109753.0,016,鳳芸村,64000130,林園區,64000,高雄市
10511,A6413-37-251,84276.0,019,西汕村,64000130,林園區,64000,高雄市
10507,A6413-33-202,42183.0,009,西溪村,64000130,林園區,64000,高雄市
